Carrer Yuri Alberto 24 anos  183 cm  Destro,,,,,,,,,,
Season,Club,Matches,Minutes_played,Goals,Assists,Average_rating,Competition_won,Shots,Shots_on_target,Big_chances_missed
2017,Santos,2,43,0,0,"6,45",,1,0,0
,Seleçao Sub 17,12,,6,0,,Campeonato Sul-Americano Sub 17 ,,,
2018,Santos,16,607,2,0,"6,71",,23,11,6
2019,,2,90,0,0,"6,3",,4,1,2
2020,,3,225,1,1,"7,17",,5,1,1
,Seleçao Sub 23,2,,0,0,,,,,
,Internacional,31,225,11,2,"6,85",,64,28,10
2021,,44,3278,15,3,"6,91",,109,55,19
2022,Zenit,13,843,4,2,"6,84",Premier League Russa ,36,13,7
,Corinthians,29,2223,12,2,"6,96",,69,29,3
2023,,63,5160,15,8,"6,9",,159,54,15
2023,Seleçao Principal,1,12,0,0,,,0,0,0
2024,Corinthians,57,4280,31,7,"7,22",,163,72,16
2025,,58,4181,19,3,"6,9",Copa do Brasil _ Paulistao,135,47,27